TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,CD,Up
,,,,,,,,,,,,,,nonwinner131.ai,nonwinner159.ai,nonwinner138.ai,,3,,7
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner48.ai,nonwinner33.ai,,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner141.ai,nonwinner138.ai,,3,,7
64,6820,02,12,24,21,37,39,50,54,72,68,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner17.ai,nonwinner77.ai,nonwinner85.ai,,3,,7
,,,,,,,,,,,,,,nonwinner119.ai,nonwinner69.ai,nonwinner67.ai,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
130,5441,03,05,28,25,31,39,59,46,64,68,,,,,,base02.ai,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
,,,,,,,,,,,,,,nonwinner162.ai,nonwinner40.ai,nonwinner48.ai,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
,,,,,,,,,,,,,,nonwinner77.ai,nonwinner88.ai,nonwinner69.ai,,1,,1
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner161.ai,nonwinner163.ai,,1,,1
,,,,,,,,,,,,winner04.ai,,,,,,1,4,1
,,,,,,,,,,,,winner03.ai,,,,,,1,3,1
,,,,,,,,,,,,,,nonwinner23.ai,nonwinner46.ai,nonwinner28.ai,,1,,1
33,4865,09,02,27,21,41,42,53,47,,,free05.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner149.ai,nonwinner34.ai,nonwinner130.ai,,1,,1
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner55.ai,nonwinner79.ai,,2,,2
,,,,,,,,,,,,winner04.ai,,,,,,2,4,2
17,4320,11,03,28,26,40,34,47,51,,,free05.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner164.ai,nonwinner143.ai,,2,,2
129,2658,09,10,25,24,31,32,51,47,71,68,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner67.ai,nonwinner135.ai,,2,,2
24,3210,02,01,25,17,34,31,,,62,65,free04.ai,,,,,base02.ai,2,,2
112,6729,03,08,25,19,32,38,53,56,61,67,,,,,,base02.ai,3,,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3,3
,,,,,,,,,,,,winner04.ai,,,,,,3,4,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,,,nonwinner60.ai,nonwinner149.ai,nonwinner162.ai,,3,,3
35,4210,02,01,26,30,42,34,,,68,69,free04.ai,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner17.ai,nonwinner56.ai,nonwinner140.ai,,3,,3
28,7588,03,01,22,19,37,43,,,62,66,free04.ai,,,,,base02.ai,4,,4
,,,,,,,,,,,,winner02.ai,,,,,,4,2,4
42,583,,,23,22,31,43,54,51,75,71,free01.ai,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner136.ai,nonwinner02.ai,nonwinner91.ai,,4,,4
,,,,,,,,,,,,winner03.ai,,,,,,4,3,4
91,4290,08,02,20,27,33,32,53,60,68,63,,,,,,base02.ai,4,,4
77,377,10,05,21,23,42,44,48,56,63,73,,,,,,base02.ai,4,,4
24,2926,05,13,26,24,45,40,,,68,65,free04.ai,,,,,base02.ai,1,,5
129,3916,15,09,29,17,36,32,56,52,67,74,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner110.ai,nonwinner06.ai,nonwinner10.ai,,1,,5
,,,,,,,,,,,,,,nonwinner48.ai,nonwinner143.ai,nonwinner116.ai,,1,,5
,,,,,,,,,,,,,,nonwinner148.ai,nonwinner59.ai,nonwinner117.ai,,1,,5
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner67.ai,nonwinner45.ai,,1,,5
101,6192,01,02,25,23,33,44,46,52,75,73,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner107.ai,nonwinner20.ai,nonwinner66.ai,,2,,6
83,2841,13,05,17,29,41,32,48,59,73,68,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner62.ai,nonwinner139.ai,,2,,6
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner148.ai,nonwinner41.ai,,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
139,3186,10,09,17,23,39,34,57,52,74,71,,,,,,base02.ai,2,,6
13,4004,14,10,26,23,44,43,,,,,free04.ai,free05.ai,,,,base02.ai,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
99,2701,04,01,26,29,40,43,46,47,72,70,,,,,,base02.ai,3,,7
92,7577,12,03,22,19,42,33,58,59,70,65,,,,,,base02.ai,3,,7
120,1874,04,11,26,19,39,36,50,57,61,68,,,,,,base02.ai,3,,7
50,765,02,14,29,21,31,32,,,67,71,free04.ai,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner78.ai,nonwinner153.ai,nonwinner97.ai,,3,,7
,,,,,,,,,,,,,,nonwinner28.ai,nonwinner137.ai,nonwinner79.ai,,3,,7
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner111.ai,nonwinner46.ai,,4,,8
67,782,01,11,18,28,37,43,57,48,69,72,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner125.ai,nonwinner154.ai,nonwinner163.ai,,4,,8
,,,,,,,,,,,,,,nonwinner75.ai,nonwinner103.ai,nonwinner84.ai,,4,,8
,,,,,,,,,,,,,,nonwinner66.ai,nonwinner10.ai,nonwinner39.ai,,4,,8
109,4801,06,10,16,23,36,44,46,56,64,61,,,,,,base02.ai,4,,8
,,,,,,,,,,,,winner02.ai,,,,,,4,2,8
,,,,,,,,,,,,,,nonwinner105.ai,nonwinner166.ai,nonwinner107.ai,,1,,1
,,,,,,,,,,,,winner04.ai,,,,,,1,4,1
103,1730,03,10,26,18,44,43,58,54,74,63,,,,,,base02.ai,1,,1
96,8079,10,12,22,26,34,45,56,60,67,63,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner165.ai,nonwinner160.ai,nonwinner77.ai,,1,,1
,,,,,,,,,,,,,,nonwinner32.ai,nonwinner125.ai,nonwinner31.ai,,1,,1
26,6195,15,01,21,28,36,34,,,73,72,free04.ai,,,,,base02.ai,1,,1
73,804,15,10,25,22,38,34,49,53,69,74,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner116.ai,nonwinner53.ai,nonwinner95.ai,,2,,2
,,,,,,,,,,,,,,nonwinner119.ai,nonwinner155.ai,nonwinner104.ai,,2,,2
94,1170,01,11,18,16,41,39,52,57,65,75,,,,,,base02.ai,2,,2
38,963,,,26,29,32,37,56,53,67,74,free01.ai,,,,,base02.ai,2,,2
115,8452,13,15,30,18,32,39,56,60,71,69,,,,,,base02.ai,2,,2
108,4560,03,10,24,27,43,34,56,50,63,72,,,,,,base02.ai,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner137.ai,nonwinner122.ai,,3,,3
126,48,09,03,19,27,35,31,57,46,61,74,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner27.ai,nonwinner44.ai,,3,,3
,,,,,,,,,,,,,,nonwinner82.ai,nonwinner110.ai,nonwinner130.ai,,3,,3
98,8712,02,08,18,25,42,31,55,47,65,64,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner147.ai,nonwinner151.ai,nonwinner86.ai,,4,,4
35,4769,,,29,17,33,45,53,49,62,64,free01.ai,,,,,base02.ai,4,,4
140,3578,07,09,17,30,44,31,58,54,69,61,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner150.ai,nonwinner158.ai,nonwinner80.ai,,4,,4
,,,,,,,,,,,,,,nonwinner161.ai,nonwinner66.ai,nonwinner53.ai,,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,,,nonwinner62.ai,nonwinner38.ai,nonwinner61.ai,,1,,5
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner50.ai,nonwinner89.ai,,1,,5
80,7467,06,05,19,20,35,41,46,52,65,66,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner130.ai,nonwinner01.ai,nonwinner126.ai,,1,,5
17,5526,14,01,,,34,43,50,48,69,64,free02.ai,,,,,base02.ai,1,,5
6,7697,12,15,,,45,38,59,60,,,free02.ai,free05.ai,,,,base02.ai,2,,6
69,6071,14,06,30,26,33,32,59,50,63,71,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner63.ai,nonwinner75.ai,,2,,6
97,1863,12,13,19,16,32,45,50,53,63,72,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner57.ai,nonwinner51.ai,nonwinner65.ai,,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
,,,,,,,,,,,,,,nonwinner124.ai,nonwinner121.ai,nonwinner69.ai,,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
1,5662,,,20,30,,,49,53,71,67,free01.ai,free03.ai,,,,base02.ai,3,,7
43,1033,,,21,29,44,36,49,48,66,71,free01.ai,,,,,base02.ai,3,,7
134,7517,10,14,26,21,41,37,55,59,61,64,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner42.ai,nonwinner92.ai,,3,,7
127,7173,14,06,18,24,34,40,58,56,62,64,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner151.ai,nonwinner10.ai,nonwinner89.ai,,3,,7
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner161.ai,nonwinner43.ai,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
,,,,,,,,,,,,winner04.ai,,,,,,4,4,8
,,,,,,,,,,,,,,nonwinner157.ai,nonwinner61.ai,nonwinner133.ai,,4,,8
116,7342,03,09,24,28,34,35,50,51,72,65,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner156.ai,nonwinner08.ai,nonwinner131.ai,,4,,8
95,1863,12,10,19,18,32,33,50,58,63,68,,,,,,base02.ai,4,,8
66,7438,12,06,20,19,37,34,56,60,61,71,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner84.ai,nonwinner23.ai,nonwinner123.ai,,1,,1
129,3916,15,09,29,17,36,32,56,52,67,74,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner101.ai,nonwinner18.ai,nonwinner150.ai,,1,,1
136,5580,13,05,16,22,33,39,46,51,65,74,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner107.ai,nonwinner74.ai,nonwinner04.ai,,1,,1
45,2615,14,07,,,33,38,60,54,75,74,free02.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,,,nonwinner58.ai,nonwinner62.ai,nonwinner64.ai,,2,,2
,,,,,,,,,,,,,,nonwinner25.ai,nonwinner43.ai,nonwinner148.ai,,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
58,2875,03,06,28,21,31,33,59,55,69,62,,,,,,base02.ai,2,,2
37,5356,01,05,26,27,,,57,46,73,61,free03.ai,,,,,base02.ai,2,,2
69,1228,13,12,17,19,43,31,54,49,63,74,,,,,,base02.ai,3,,3
83,2263,14,03,29,27,45,36,53,49,67,64,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner67.ai,nonwinner101.ai,nonwinner135.ai,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,winner04.ai,,,,,,3,4,3
139,2937,13,05,30,23,38,43,56,49,70,68,,,,,,base02.ai,3,,3
97,6553,01,14,27,24,31,36,50,48,61,70,,,,,,base02.ai,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
101,6724,04,10,21,17,43,39,49,56,71,61,,,,,,base02.ai,4,,4
,,,,,,,,,,,,winner04.ai,,,,,,4,4,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
108,7626,04,10,23,30,35,39,49,53,66,72,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner104.ai,nonwinner71.ai,,4,,4
71,4814,04,07,19,30,45,32,50,55,75,61,,,,,,base02.ai,1,,5
36,4273,07,09,,,45,43,50,56,72,69,free02.ai,,,,,base02.ai,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,,,nonwinner141.ai,nonwinner78.ai,nonwinner129.ai,,1,,5
,,,,,,,,,,,,winner04.ai,,,,,,1,4,5
64,8409,02,09,30,29,44,38,52,53,61,73,,,,,,base02.ai,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner164.ai,nonwinner143.ai,,2,,6
136,4234,01,06,16,24,45,43,59,50,75,66,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner29.ai,nonwinner136.ai,,2,,6
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner67.ai,nonwinner135.ai,,2,,6
,,,,,,,,,,,,,,nonwinner32.ai,nonwinner87.ai,nonwinner137.ai,,2,,6
10,5329,02,09,,,38,40,55,47,,,free02.ai,free05.ai,,,,base02.ai,2,,6
87,3062,04,06,29,27,39,34,51,57,74,75,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner74.ai,nonwinner124.ai,nonwinner08.ai,,3,,7
61,8520,14,07,25,24,44,37,50,58,75,62,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner48.ai,nonwinner147.ai,nonwinner11.ai,,3,,7
103,921,05,12,25,18,44,34,49,53,74,69,,,,,,base02.ai,3,,7
54,8725,13,06,29,22,,,52,58,72,71,free03.ai,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner96.ai,nonwinner59.ai,,3,,7
,,,,,,,,,,,,,,nonwinner22.ai,nonwinner52.ai,nonwinner113.ai,,3,,7
13,415,14,05,26,17,,,,,75,69,free03.ai,free04.ai,,,,base02.ai,4,,8
104,5360,10,03,26,19,39,38,59,54,64,75,,,,,,base02.ai,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
,,,,,,,,,,,,,,nonwinner108.ai,nonwinner57.ai,nonwinner152.ai,,4,,8
20,3345,05,03,20,22,39,45,,,61,62,free04.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner157.ai,nonwinner44.ai,nonwinner134.ai,,4,,8
,,,,,,,,,,,,,,nonwinner126.ai,nonwinner78.ai,nonwinner25.ai,,4,,8
,,,,,,,,,,,,,,nonwinner137.ai,nonwinner116.ai,nonwinner125.ai,,1,,1
,,,,,,,,,,,,winner04.ai,,,,,,1,4,1
,,,,,,,,,,,,,,nonwinner57.ai,nonwinner49.ai,nonwinner159.ai,,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
38,523,14,03,25,30,,,55,52,64,70,free03.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner110.ai,nonwinner06.ai,nonwinner10.ai,,1,,1
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner57.ai,nonwinner155.ai,,1,,1
,,,,,,,,,,,,winner03.ai,,,,,,2,3,2
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner55.ai,nonwinner104.ai,,2,,2
79,5757,04,02,28,19,45,39,54,53,75,74,,,,,,base02.ai,2,,2
30,2522,04,07,28,30,,,47,52,62,65,free03.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,,,nonwinner69.ai,nonwinner31.ai,nonwinner43.ai,,2,,2
51,8031,12,09,30,17,45,41,56,58,,,free05.ai,,,,,base02.ai,2,,2
48,1799,,,24,27,31,35,52,48,72,75,free01.ai,,,,,base02.ai,3,,3
,,,,,,,,,,,,winner04.ai,,,,,,3,4,3
,,,,,,,,,,,,,,nonwinner89.ai,nonwinner122.ai,nonwinner126.ai,,3,,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner152.ai,nonwinner85.ai,,3,,3
,,,,,,,,,,,,,,nonwinner154.ai,nonwinner127.ai,nonwinner147.ai,,3,,3
27,614,02,10,21,30,40,39,,,62,69,free04.ai,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner139.ai,nonwinner82.ai,nonwinner81.ai,,3,,3
73,5090,05,13,22,30,36,40,48,57,66,73,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner130.ai,nonwinner13.ai,nonwinner110.ai,,4,,4
87,8034,11,06,28,23,38,40,53,57,61,63,,,,,,base02.ai,4,,4
80,3849,15,14,30,21,40,35,54,50,75,74,,,,,,base02.ai,4,,4
45,1633,06,05,22,24,34,36,54,47,,,free05.ai,,,,,base02.ai,4,,4
,,,,,,,,,,,,winner02.ai,,,,,,4,2,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
78,2550,07,01,23,27,37,38,56,49,69,62,,,,,,base02.ai,1,,5
43,6123,06,12,16,30,39,43,50,46,,,free05.ai,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner138.ai,nonwinner159.ai,,1,,5
,,,,,,,,,,,,,,nonwinner77.ai,nonwinner156.ai,nonwinner114.ai,,1,,5
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner125.ai,nonwinner162.ai,,1,,5
57,263,09,07,28,22,37,42,59,58,70,71,,,,,,base02.ai,1,,5
,,,,,,,,,,,,winner03.ai,,,,,,1,3,5
,,,,,,,,,,,,,,nonwinner68.ai,nonwinner72.ai,nonwinner81.ai,,2,,6
52,450,15,14,22,24,,,55,49,72,70,free03.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner91.ai,nonwinner33.ai,nonwinner65.ai,,2,,6
101,4744,03,04,23,27,31,43,52,46,75,67,,,,,,base02.ai,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
45,2739,,,16,18,31,42,54,50,63,69,free01.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner36.ai,nonwinner161.ai,nonwinner18.ai,,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
82,559,09,03,22,29,39,40,57,53,68,62,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner122.ai,nonwinner166.ai,,3,,7
47,3172,09,03,29,19,31,34,,,67,63,free04.ai,,,,,base02.ai,3,,7
89,8916,11,03,19,25,42,39,48,55,73,71,,,,,,base02.ai,3,,7
68,3548,07,05,17,23,39,45,54,55,62,75,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner110.ai,nonwinner47.ai,nonwinner53.ai,,3,,7
,,,,,,,,,,,,,,nonwinner73.ai,nonwinner87.ai,nonwinner97.ai,,4,,8
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner17.ai,nonwinner157.ai,,4,,8
,,,,,,,,,,,,,,nonwinner81.ai,nonwinner39.ai,nonwinner107.ai,,4,,8
48,5842,12,10,27,29,42,31,,,75,70,free04.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner67.ai,nonwinner48.ai,nonwinner166.ai,,4,,8
,,,,,,,,,,,,,,nonwinner98.ai,nonwinner30.ai,nonwinner119.ai,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
94,5178,10,01,18,30,40,31,48,49,72,61,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner33.ai,nonwinner134.ai,nonwinner63.ai,,1,,1
,,,,,,,,,,,,,,nonwinner48.ai,nonwinner143.ai,nonwinner116.ai,,1,,1
52,5284,01,05,17,23,34,32,,,62,68,free04.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner113.ai,nonwinner92.ai,,1,,1
,,,,,,,,,,,,winner02.ai,,,,,,1,2,1
100,7085,11,04,17,19,37,35,60,54,63,61,,,,,,base02.ai,2,,2
107,4560,09,02,28,18,31,32,53,47,62,69,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner92.ai,nonwinner45.ai,nonwinner51.ai,,2,,2
,,,,,,,,,,,,,,nonwinner21.ai,nonwinner150.ai,nonwinner67.ai,,2,,2
,,,,,,,,,,,,,,nonwinner125.ai,nonwinner57.ai,nonwinner136.ai,,2,,2
65,7555,07,05,20,30,44,45,56,55,69,71,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner114.ai,nonwinner141.ai,nonwinner153.ai,,2,,2
76,649,06,09,25,19,31,33,58,46,72,75,,,,,,base02.ai,3,,3
,,,,,,,,,,,,winner04.ai,,,,,,3,4,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
13,4171,04,10,23,26,38,33,,,,,free04.ai,free05.ai,,,,base02.ai,3,,3
104,7522,09,14,17,23,41,37,53,56,65,73,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner86.ai,nonwinner73.ai,nonwinner98.ai,,3,,3
55,5282,12,13,,,41,45,50,59,69,64,free02.ai,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner130.ai,nonwinner53.ai,nonwinner95.ai,,4,,4
129,5441,13,04,26,16,41,44,58,47,70,62,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner24.ai,nonwinner148.ai,,4,,4
,,,,,,,,,,,,,,nonwinner32.ai,nonwinner134.ai,nonwinner08.ai,,4,,4
,,,,,,,,,,,,,,nonwinner57.ai,nonwinner155.ai,nonwinner53.ai,,4,,4
,,,,,,,,,,,,,,nonwinner105.ai,nonwinner162.ai,nonwinner124.ai,,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
85,1270,12,07,16,17,40,32,51,57,68,65,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner166.ai,nonwinner32.ai,nonwinner153.ai,,1,,5
120,534,06,02,18,28,35,33,53,52,67,62,,,,,,base02.ai,1,,5
15,1901,03,10,18,16,32,37,49,53,,,free05.ai,,,,,base02.ai,1,,5
106,5036,02,01,17,22,33,39,53,51,61,72,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner67.ai,nonwinner45.ai,,1,,5
,,,,,,,,,,,,winner02.ai,,,,,,1,2,5
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner55.ai,nonwinner79.ai,,2,,6
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner20.ai,nonwinner77.ai,,2,,6
,,,,,,,,,,,,winner04.ai,,,,,,2,4,6
,,,,,,,,,,,,,,nonwinner96.ai,nonwinner154.ai,nonwinner109.ai,,2,,6
129,2658,09,10,25,24,31,32,51,47,71,68,,,,,,base02.ai,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
94,1170,01,11,18,16,41,39,52,57,65,75,,,,,,base02.ai,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
,,,,,,,,,,,,winner04.ai,,,,,,3,4,7
,,,,,,,,,,,,,,nonwinner108.ai,nonwinner91.ai,nonwinner101.ai,,3,,7
124,2350,15,01,27,17,40,36,57,46,61,75,,,,,,base02.ai,3,,7
,,,,,,,,,,,,winner04.ai,,,,,,3,4,7
,,,,,,,,,,,,,,nonwinner97.ai,nonwinner43.ai,nonwinner19.ai,,3,,7
41,583,09,07,30,25,44,41,,,62,67,free04.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner94.ai,nonwinner48.ai,nonwinner56.ai,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
27,7365,04,08,25,16,,,52,57,61,73,free03.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,winner04.ai,,,,,,4,4,8
76,377,11,12,29,26,38,33,55,57,69,65,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner67.ai,nonwinner45.ai,,1,,1
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner50.ai,nonwinner89.ai,,1,,1
3,4031,,,27,24,36,34,46,55,,,free01.ai,free05.ai,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner66.ai,nonwinner76.ai,,1,,1
115,4275,14,04,28,20,33,38,59,53,62,69,,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
101,6192,01,02,25,23,33,44,46,52,75,73,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner08.ai,nonwinner51.ai,,2,,2
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner139.ai,nonwinner156.ai,,2,,2
,,,,,,,,,,,,winner04.ai,,,,,,2,4,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,,,nonwinner49.ai,nonwinner22.ai,nonwinner09.ai,,2,,2
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner33.ai,nonwinner159.ai,,2,,2
16,6505,11,08,23,18,43,32,47,51,,,free05.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,,,nonwinner46.ai,nonwinner68.ai,nonwinner80.ai,,3,,3
,,,,,,,,,,,,,,nonwinner165.ai,nonwinner34.ai,nonwinner75.ai,,3,,3
34,5299,11,07,,,37,31,59,53,70,73,free02.ai,,,,,base02.ai,3,,3
,,,,,,,,,,,,winner01.ai,,,,,,3,1,3
41,3345,09,03,,,40,45,58,48,71,62,free02.ai,,,,,base02.ai,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
,,,,,,,,,,,,,,nonwinner161.ai,nonwinner37.ai,nonwinner13.ai,,4,,4
31,5860,11,13,29,18,37,35,,,65,62,free04.ai,,,,,base02.ai,4,,4
24,2451,,,29,21,43,40,58,46,68,62,free01.ai,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner114.ai,nonwinner110.ai,nonwinner153.ai,,4,,4
,,,,,,,,,,,,,,nonwinner20.ai,nonwinner97.ai,nonwinner143.ai,,4,,4
,,,,,,,,,,,,,,nonwinner39.ai,nonwinner154.ai,nonwinner21.ai,,4,,4
8,3099,08,05,28,25,,,,,68,74,free03.ai,free04.ai,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner78.ai,nonwinner135.ai,nonwinner30.ai,,1,,5
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner01.ai,nonwinner156.ai,,1,,5
,,,,,,,,,,,,,,nonwinner34.ai,nonwinner99.ai,nonwinner124.ai,,1,,5
92,7169,04,11,26,29,33,45,60,50,72,74,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner25.ai,nonwinner60.ai,nonwinner124.ai,,1,,5
