TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,Up
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner08.ai,nonwinner15.ai,,1,17
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner13.ai,nonwinner05.ai,,1,17
64,6442,04,07,22,19,37,35,48,49,63,66,,,,,,base02.ai,2,18
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner04.ai,nonwinner11.ai,,2,18
4,5499,03,07,,,35,33,56,59,,,free02.ai,free05.ai,,,,base02.ai,3,19
64,3452,04,05,24,20,45,37,56,50,65,62,,,,,,base02.ai,3,19
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner11.ai,,4,20
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner02.ai,nonwinner03.ai,,4,20
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner13.ai,nonwinner14.ai,,1,21
68,6612,03,15,20,25,35,43,58,54,72,64,,,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner06.ai,nonwinner02.ai,,2,22
102,6913,11,03,29,23,40,35,50,60,65,61,,,,,,base02.ai,2,22
135,5939,12,03,28,16,31,45,59,56,61,64,,,,,,base02.ai,3,23
29,4861,,,23,28,36,37,58,53,64,63,free01.ai,,,,,base02.ai,3,23
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner02.ai,nonwinner05.ai,,4,24
30,328,,,24,25,38,37,54,51,61,69,free01.ai,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner02.ai,nonwinner07.ai,,1,25
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner09.ai,nonwinner04.ai,,1,25
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner08.ai,,2,26
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner15.ai,nonwinner13.ai,,2,26
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner12.ai,nonwinner04.ai,,3,27
9,6200,,,16,19,34,37,,,74,65,free01.ai,free04.ai,,,,base02.ai,3,27
91,3074,13,10,29,24,31,41,58,51,70,61,,,,,,base02.ai,4,28
43,5235,,,27,24,37,42,53,55,66,65,free01.ai,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner08.ai,,1,1
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner08.ai,nonwinner11.ai,,1,1
98,4337,08,01,22,26,41,33,53,60,70,61,,,,,,base02.ai,2,2
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner09.ai,nonwinner05.ai,,2,2
137,4231,01,12,19,24,37,43,49,60,75,66,,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner01.ai,nonwinner08.ai,,3,3
95,8794,13,12,23,21,31,33,49,54,66,65,,,,,,base02.ai,4,4
39,5091,,,26,19,36,38,57,49,66,72,free01.ai,,,,,base02.ai,4,4
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner13.ai,nonwinner12.ai,,1,5
51,7532,,,18,27,35,43,52,60,61,64,free01.ai,,,,,base02.ai,1,5
92,2188,09,01,25,19,36,45,55,52,74,69,,,,,,base02.ai,2,6
84,1738,07,11,23,18,41,42,53,49,71,70,,,,,,base02.ai,2,6
63,8022,13,06,19,20,32,44,58,48,67,70,,,,,,base02.ai,3,7
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner10.ai,,3,7
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner12.ai,nonwinner01.ai,,4,8
99,7849,05,13,27,18,37,40,51,59,73,65,,,,,,base02.ai,4,8
73,3158,14,02,29,28,45,40,59,53,74,62,,,,,,base02.ai,1,9
59,5932,11,10,28,26,35,41,50,52,71,61,,,,,,base02.ai,1,9
58,5441,04,13,16,26,44,41,47,58,62,70,,,,,,base02.ai,2,10
28,5705,01,08,,,42,40,57,53,71,69,free02.ai,,,,,base02.ai,2,10
91,4983,04,08,23,25,32,42,54,55,72,71,,,,,,base02.ai,3,11
37,5491,14,04,27,29,,,59,60,71,65,free03.ai,,,,,base02.ai,3,11
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner09.ai,nonwinner11.ai,,4,12
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner08.ai,nonwinner07.ai,,4,12
62,5916,03,01,23,20,37,42,49,47,75,62,,,,,,base02.ai,1,13
32,5473,02,05,,,31,32,50,58,63,67,free02.ai,,,,,base02.ai,1,13
97,8520,10,07,18,24,33,37,57,58,71,62,,,,,,base02.ai,2,14
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner08.ai,nonwinner05.ai,,2,14
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner07.ai,nonwinner04.ai,,3,15
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner13.ai,nonwinner11.ai,,3,15
116,3912,09,15,23,28,45,40,48,55,68,75,,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner06.ai,nonwinner08.ai,,4,16
88,1727,03,10,30,19,36,42,58,50,66,64,,,,,,base02.ai,1,17
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner15.ai,nonwinner12.ai,,1,17
48,8899,02,10,,,39,45,49,52,67,74,free02.ai,,,,,base02.ai,2,18
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner02.ai,nonwinner14.ai,,2,18
60,4573,02,11,28,29,35,42,50,58,72,64,,,,,,base02.ai,3,19
104,4392,15,04,16,17,34,33,50,58,68,71,,,,,,base02.ai,3,19
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner11.ai,nonwinner14.ai,,4,20
39,5091,,,26,19,36,38,57,49,66,72,free01.ai,,,,,base02.ai,4,20
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner08.ai,,1,21
134,2932,06,11,22,19,35,41,48,54,75,71,,,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner09.ai,nonwinner12.ai,,2,22
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner03.ai,nonwinner15.ai,,2,22
,,,,,,,,,,,,winner01.ai,,,,,,3,23
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner06.ai,nonwinner08.ai,,3,23
50,1260,,,24,22,32,38,50,49,74,62,free01.ai,,,,,base02.ai,4,24
,,,,,,,,,,,,winner01.ai,,,,,,4,24
24,3498,09,02,,,39,45,59,53,61,71,free02.ai,,,,,base02.ai,1,25
50,2089,13,08,,,36,43,55,59,61,62,free02.ai,,,,,base02.ai,1,25
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner10.ai,nonwinner13.ai,,2,26
114,3622,15,01,19,29,37,32,48,50,62,61,,,,,,base02.ai,2,26
91,4983,04,08,23,25,32,42,54,55,72,71,,,,,,base02.ai,3,27
3,5524,,,,,44,37,56,54,73,71,free01.ai,free02.ai,,,,base02.ai,3,27
1,6905,,,30,26,38,31,,,71,74,free01.ai,free04.ai,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner11.ai,nonwinner14.ai,,4,28
33,6565,06,08,24,29,,,51,57,66,72,free03.ai,,,,,base02.ai,1,1
125,3041,14,12,24,19,39,34,52,49,63,69,,,,,,base02.ai,1,1
50,2821,,,24,22,40,35,60,53,61,63,free01.ai,,,,,base02.ai,2,2
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner06.ai,nonwinner02.ai,,2,2
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner02.ai,nonwinner09.ai,,3,3
65,7150,03,02,16,29,35,40,60,51,66,74,,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner04.ai,nonwinner09.ai,,4,4
91,3074,13,10,29,24,31,41,58,51,70,61,,,,,,base02.ai,4,4
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner10.ai,nonwinner12.ai,,1,5
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner03.ai,nonwinner02.ai,,1,5
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner01.ai,nonwinner14.ai,,2,6
54,350,02,11,,,41,31,50,59,66,68,free02.ai,,,,,base02.ai,2,6
99,5464,03,12,27,24,31,42,51,56,63,72,,,,,,base02.ai,3,7
11,7312,15,04,,,,,49,59,69,73,free02.ai,free03.ai,,,,base02.ai,3,7
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner05.ai,,4,8
49,5556,04,05,,,35,40,54,56,68,73,free02.ai,,,,,base02.ai,4,8
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner02.ai,,1,9
15,4783,14,11,,,44,42,56,59,69,72,free02.ai,,,,,base02.ai,1,9
50,2821,,,24,22,40,35,60,53,61,63,free01.ai,,,,,base02.ai,2,10
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner12.ai,nonwinner05.ai,,2,10
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner08.ai,nonwinner04.ai,,3,11
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner09.ai,,3,11
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner06.ai,nonwinner02.ai,,4,12
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner09.ai,nonwinner07.ai,,4,12
100,5715,07,01,23,26,39,33,58,49,75,62,,,,,,base02.ai,1,13
68,6612,03,15,20,25,35,43,58,54,72,64,,,,,,base02.ai,1,13
37,5139,07,08,,,31,39,56,49,63,73,free02.ai,,,,,base02.ai,2,14
1,6261,,,24,30,,,52,46,61,64,free01.ai,free03.ai,,,,base02.ai,2,14
25,5209,15,11,,,37,44,51,46,63,75,free02.ai,,,,,base02.ai,3,15
135,5939,12,03,28,16,31,45,59,56,61,64,,,,,,base02.ai,3,15
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner15.ai,nonwinner01.ai,,4,16
34,6378,13,12,16,27,,,50,53,75,68,free03.ai,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner06.ai,nonwinner11.ai,,1,17
126,2014,09,12,23,19,39,45,52,46,66,62,,,,,,base02.ai,1,17
16,4973,04,08,23,25,38,41,,,72,62,free04.ai,,,,,base02.ai,2,18
44,4051,,,19,30,34,33,50,57,68,63,free01.ai,,,,,base02.ai,2,18
102,5709,06,07,23,30,34,39,48,59,67,64,,,,,,base02.ai,3,19
88,4101,01,07,28,23,31,45,55,52,61,62,,,,,,base02.ai,3,19
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner05.ai,nonwinner12.ai,,4,20
27,3357,05,04,,,39,36,50,52,68,67,free02.ai,,,,,base02.ai,4,20
62,5916,03,01,23,20,37,42,49,47,75,62,,,,,,base02.ai,1,21
36,6883,04,10,,,41,40,53,47,71,64,free02.ai,,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner01.ai,nonwinner14.ai,,2,22
,,,,,,,,,,,,winner01.ai,,,,,,2,22
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner06.ai,nonwinner02.ai,,3,23
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner11.ai,,3,23
120,6679,12,06,20,23,34,38,58,52,73,64,,,,,,base02.ai,4,24
86,6830,10,04,27,21,31,34,54,53,64,61,,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner05.ai,nonwinner01.ai,,1,25
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner03.ai,,1,25
16,4973,04,08,23,25,38,41,,,72,62,free04.ai,,,,,base02.ai,2,26
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner13.ai,nonwinner07.ai,,2,26
95,3586,02,06,23,22,42,32,48,57,63,70,,,,,,base02.ai,3,27
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner12.ai,nonwinner09.ai,,3,27
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner14.ai,,4,28
47,3032,07,15,,,38,42,50,59,68,75,free02.ai,,,,,base02.ai,4,28
69,2200,04,07,29,19,31,35,52,46,62,72,,,,,,base02.ai,1,1
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner13.ai,nonwinner01.ai,,1,1
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner14.ai,nonwinner04.ai,,2,2
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner04.ai,nonwinner14.ai,,2,2
19,3083,,,16,21,43,33,57,51,66,75,free01.ai,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner11.ai,,3,3
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner12.ai,nonwinner01.ai,,4,4
109,8763,06,04,19,30,44,38,58,46,62,66,,,,,,base02.ai,4,4
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner04.ai,nonwinner12.ai,,1,5
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner06.ai,nonwinner02.ai,,1,5
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner01.ai,,2,6
132,4959,15,08,16,24,32,44,48,56,63,72,,,,,,base02.ai,2,6
89,7501,08,01,26,25,41,36,59,56,65,71,,,,,,base02.ai,3,7
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner05.ai,nonwinner08.ai,,3,7
45,2336,,,28,23,36,45,50,46,71,72,free01.ai,,,,,base02.ai,4,8
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner10.ai,,4,8
93,7012,15,06,30,18,39,38,58,54,69,72,,,,,,base02.ai,1,9
133,6653,06,04,21,20,35,33,46,54,66,62,,,,,,base02.ai,1,9
38,3746,,,28,16,42,36,51,52,66,70,free01.ai,,,,,base02.ai,2,10
96,5313,06,15,22,25,38,32,57,48,74,61,,,,,,base02.ai,2,10
35,7276,09,04,24,27,31,44,,,63,70,free04.ai,,,,,base02.ai,3,11
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner06.ai,nonwinner02.ai,,3,11
126,3741,01,04,27,19,32,38,46,59,61,64,,,,,,base02.ai,4,12
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner12.ai,nonwinner09.ai,,4,12
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner02.ai,nonwinner01.ai,,1,13
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner15.ai,nonwinner08.ai,,1,13
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner02.ai,nonwinner04.ai,,2,14
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner13.ai,nonwinner08.ai,,2,14
45,4413,10,02,,,33,39,46,54,62,73,free02.ai,,,,,base02.ai,3,15
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner15.ai,nonwinner11.ai,,3,15
102,3679,07,11,20,26,43,34,54,56,67,71,,,,,,base02.ai,4,16
52,1106,,,16,25,42,38,58,50,70,64,free01.ai,,,,,base02.ai,4,16
8,4885,13,05,,,45,43,,,69,67,free02.ai,free04.ai,,,,base02.ai,1,17
26,6610,01,06,,,34,35,49,55,63,62,free02.ai,,,,,base02.ai,1,17
,,,,,,,,,,,,winner01.ai,,,,,,2,18
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner14.ai,nonwinner07.ai,,2,18
72,8690,03,14,25,20,44,42,46,50,73,61,,,,,,base02.ai,3,19
54,4197,10,15,,,44,40,50,60,65,75,free02.ai,,,,,base02.ai,3,19
113,5143,05,11,16,27,36,44,50,57,69,73,,,,,,base02.ai,4,20
,,,,,,,,,,,,winner01.ai,,,,,,4,20
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner09.ai,nonwinner04.ai,,1,21
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner13.ai,nonwinner01.ai,,1,21
74,3363,13,06,17,25,42,40,46,53,72,75,,,,,,base02.ai,2,22
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner11.ai,nonwinner07.ai,,2,22
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner03.ai,nonwinner06.ai,,3,23
95,3586,02,06,23,22,42,32,48,57,63,70,,,,,,base02.ai,3,23
104,4621,11,05,22,23,44,36,59,52,66,73,,,,,,base02.ai,4,24
4,497,,,,,34,32,56,46,62,66,free01.ai,free02.ai,,,,base02.ai,4,24
12,5029,,,,,39,33,50,51,65,74,free01.ai,free02.ai,,,,base02.ai,1,25
114,2093,06,14,26,18,31,39,56,54,64,68,,,,,,base02.ai,1,25
70,2912,06,07,25,18,43,38,56,55,61,75,,,,,,base02.ai,2,26
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner05.ai,nonwinner12.ai,,2,26
37,5491,14,04,27,29,,,59,60,71,65,free03.ai,,,,,base02.ai,3,27
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner03.ai,nonwinner06.ai,,3,27
103,2999,02,03,23,16,44,33,60,58,68,62,,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner04.ai,nonwinner09.ai,,4,28
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner10.ai,nonwinner05.ai,,1,1
21,3176,,,16,19,40,32,47,46,72,74,free01.ai,,,,,base02.ai,1,1
80,3754,11,15,21,22,38,33,56,52,68,71,,,,,,base02.ai,2,2
38,3746,,,28,16,42,36,51,52,66,70,free01.ai,,,,,base02.ai,2,2
101,5041,09,15,29,18,44,33,47,59,75,61,,,,,,base02.ai,3,3
113,7477,09,07,23,22,39,38,51,59,72,66,,,,,,base02.ai,3,3
25,6214,10,15,,,42,43,46,54,74,62,free02.ai,,,,,base02.ai,4,4
31,4630,,,25,27,31,36,51,46,65,74,free01.ai,,,,,base02.ai,4,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner08.ai,,1,5
11,6578,09,10,,,,,58,54,68,75,free02.ai,free03.ai,,,,base02.ai,1,5
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner03.ai,nonwinner15.ai,,2,6
70,2912,06,07,25,18,43,38,56,55,61,75,,,,,,base02.ai,2,6
3,5524,,,,,44,37,56,54,73,71,free01.ai,free02.ai,,,,base02.ai,3,7
119,6373,09,07,23,18,34,45,56,49,67,61,,,,,,base02.ai,3,7
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner11.ai,,4,8
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner13.ai,nonwinner14.ai,,4,8
137,6616,13,05,25,29,41,37,58,49,63,67,,,,,,base02.ai,1,9
97,556,15,11,22,28,41,35,51,48,61,74,,,,,,base02.ai,1,9
72,3803,10,13,24,22,41,31,57,60,71,75,,,,,,base02.ai,2,10
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner04.ai,nonwinner14.ai,,2,10
7,4892,,,,,43,35,47,49,72,71,free01.ai,free02.ai,,,,base02.ai,3,11
25,5209,15,11,,,37,44,51,46,63,75,free02.ai,,,,,base02.ai,3,11
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner06.ai,nonwinner14.ai,,4,12
122,7936,02,06,28,26,32,45,48,52,64,75,,,,,,base02.ai,4,12
18,1610,,,29,17,45,39,57,48,70,75,free01.ai,,,,,base02.ai,1,13
20,714,,,28,24,42,31,56,47,65,71,free01.ai,,,,,base02.ai,1,13
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner15.ai,nonwinner14.ai,,2,14
59,1739,15,14,27,18,41,44,47,51,74,72,,,,,,base02.ai,2,14
29,4861,,,23,28,36,37,58,53,64,63,free01.ai,,,,,base02.ai,3,15
63,8022,13,06,19,20,32,44,58,48,67,70,,,,,,base02.ai,3,15
114,6993,05,15,28,22,41,34,48,52,66,75,,,,,,base02.ai,4,16
78,3207,12,01,16,20,37,40,58,48,73,75,,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner13.ai,nonwinner14.ai,,1,17
134,2932,06,11,22,19,35,41,48,54,75,71,,,,,,base02.ai,1,17
68,448,03,05,21,28,38,41,47,56,74,71,,,,,,base02.ai,2,18
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner01.ai,,2,18
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner05.ai,nonwinner07.ai,,3,19
38,574,01,02,,,41,45,60,47,75,67,free02.ai,,,,,base02.ai,3,19
137,3614,02,05,18,19,41,39,48,49,62,65,,,,,,base02.ai,4,20
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner12.ai,nonwinner01.ai,,4,20
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner04.ai,nonwinner14.ai,,1,21
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner14.ai,nonwinner10.ai,,1,21
58,5441,04,13,16,26,44,41,47,58,62,70,,,,,,base02.ai,2,22
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner04.ai,nonwinner11.ai,,2,22
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner12.ai,nonwinner09.ai,,3,23
79,8354,14,02,20,23,45,42,55,48,69,67,,,,,,base02.ai,3,23
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner06.ai,nonwinner03.ai,,4,24
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner08.ai,,4,24
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner15.ai,nonwinner13.ai,,1,25
,,,,,,,,,,,,winner01.ai,,,,,,1,25
66,758,05,06,20,18,39,44,58,60,71,63,,,,,,base02.ai,2,26
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner10.ai,nonwinner03.ai,,2,26
115,8807,14,11,22,26,33,45,59,49,68,66,,,,,,base02.ai,3,27
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner14.ai,,3,27
77,3672,03,11,16,22,34,37,52,48,63,69,,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner11.ai,,4,28
133,6653,06,04,21,20,35,33,46,54,66,62,,,,,,base02.ai,1,1
121,4681,15,13,26,16,33,32,55,53,72,70,,,,,,base02.ai,1,1
66,758,05,06,20,18,39,44,58,60,71,63,,,,,,base02.ai,2,2
90,2279,07,10,28,24,33,41,54,60,70,64,,,,,,base02.ai,2,2
109,2502,06,07,21,26,37,35,51,60,65,63,,,,,,base02.ai,3,3
,,,,,,,,,,,,winner01.ai,,,,,,3,3
101,8758,04,10,24,29,44,31,48,51,67,69,,,,,,base02.ai,4,4
15,7482,,,29,27,39,41,48,52,64,63,free01.ai,,,,,base02.ai,4,4
115,5565,15,02,24,19,45,36,55,57,68,63,,,,,,base02.ai,1,5
117,6364,10,01,19,20,41,35,51,56,68,65,,,,,,base02.ai,1,5
32,3173,15,05,,,37,32,59,54,75,67,free02.ai,,,,,base02.ai,2,6
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner09.ai,nonwinner12.ai,,2,6
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner12.ai,nonwinner01.ai,,3,7
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner04.ai,nonwinner08.ai,,3,7
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner14.ai,nonwinner13.ai,,4,8
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner01.ai,nonwinner02.ai,,4,8
13,390,,,,,42,45,60,54,64,73,free01.ai,free02.ai,,,,base02.ai,1,9
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner08.ai,nonwinner11.ai,,1,9
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner13.ai,nonwinner12.ai,,2,10
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner07.ai,nonwinner05.ai,,2,10
5,393,05,09,,,,,51,55,64,62,free02.ai,free03.ai,,,,base02.ai,3,11
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner13.ai,nonwinner06.ai,,3,11
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner02.ai,nonwinner14.ai,,4,12
132,4869,06,13,22,21,36,34,57,56,75,72,,,,,,base02.ai,4,12
22,3540,05,14,,,32,31,49,60,69,75,free02.ai,,,,,base02.ai,1,13
42,4557,,,16,17,37,35,54,57,61,66,free01.ai,,,,,base02.ai,1,13
91,410,01,11,26,28,41,38,48,50,62,75,,,,,,base02.ai,2,14
51,8953,15,04,,,45,41,60,59,61,67,free02.ai,,,,,base02.ai,2,14
7,4892,,,,,43,35,47,49,72,71,free01.ai,free02.ai,,,,base02.ai,3,15
121,8101,03,13,20,16,37,39,51,46,73,72,,,,,,base02.ai,3,15
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner08.ai,nonwinner06.ai,,4,16
74,5326,06,13,19,29,42,31,52,49,66,69,,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner05.ai,nonwinner01.ai,,1,17
34,4350,,,30,16,38,33,55,49,67,63,free01.ai,,,,,base02.ai,1,17
114,3622,15,01,19,29,37,32,48,50,62,61,,,,,,base02.ai,2,18
24,1543,,,16,17,34,35,53,57,71,63,free01.ai,,,,,base02.ai,2,18
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner05.ai,nonwinner14.ai,,3,19
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner03.ai,,3,19
101,8758,04,10,24,29,44,31,48,51,67,69,,,,,,base02.ai,4,20
69,2339,14,05,30,27,32,38,53,52,62,72,,,,,,base02.ai,4,20
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner03.ai,,1,21
48,8070,06,01,,,34,45,59,54,71,69,free02.ai,,,,,base02.ai,1,21
96,5313,06,15,22,25,38,32,57,48,74,61,,,,,,base02.ai,2,22
104,8259,11,02,21,16,44,43,59,52,63,66,,,,,,base02.ai,2,22
77,5385,10,04,29,21,34,44,59,55,64,72,,,,,,base02.ai,3,23
15,6801,07,13,,,43,37,55,47,64,73,free02.ai,,,,,base02.ai,3,23
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner15.ai,nonwinner01.ai,,4,24
6,2406,,,,,39,40,56,54,66,71,free01.ai,free02.ai,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner01.ai,nonwinner07.ai,,1,25
48,8070,06,01,,,34,45,59,54,71,69,free02.ai,,,,,base02.ai,1,25
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner04.ai,nonwinner14.ai,,2,26
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner01.ai,,2,26
111,3733,07,13,16,28,44,37,58,59,71,69,,,,,,base02.ai,3,27
21,7323,10,12,21,25,,,59,57,61,68,free03.ai,,,,,base02.ai,3,27
53,1515,,,25,18,37,35,53,57,65,69,free01.ai,,,,,base02.ai,4,28
115,3948,09,10,18,21,38,41,60,46,67,63,,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner02.ai,,1,1
87,4982,12,04,17,20,32,38,60,53,75,68,,,,,,base02.ai,1,1
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner06.ai,nonwinner12.ai,,2,2
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner13.ai,nonwinner12.ai,,2,2
115,8807,14,11,22,26,33,45,59,49,68,66,,,,,,base02.ai,3,3
117,8170,05,04,28,21,31,39,51,54,63,73,,,,,,base02.ai,3,3
19,1375,13,12,,,36,31,46,55,68,73,free02.ai,,,,,base02.ai,4,4
41,6244,,,16,25,40,31,59,55,71,70,free01.ai,,,,,base02.ai,4,4
47,2584,,,18,23,41,38,54,58,70,61,free01.ai,,,,,base02.ai,1,5
127,7024,09,06,28,21,37,41,57,49,74,63,,,,,,base02.ai,1,5
